Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,34608,219948,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,0
5392133,6,4,611,149,517,0,101.8333333,204.3050823,137,0,37.25,66.5601232,51593,84886,599125.8889,1742170.65,5244359,3,5392133,1078426.6,2375400.234,5327573,3,119992,39997.33333,46461.72354,91189,500,0,0,0,0,132,92,1.112732197,0.741821465,0,517,69.09090909,154.0308116,23725.49091,0,0,0,1,0,0,0,0,0,76,101.8333333,37.25,0,0,0,0,0,0,6,611,4,149,8192,123,5,20,147771,0,147771,147771,5244359,0,5244359,5244359,0
3,2,0,12,0,6,6,6,0,0,0,0,0,190986,219948,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0,0,0,0,0,0,0,0,0
88,1,1,0,0,0,0,0,0,0,0,0,0,2,149762,88,0,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11363.63636,11363.63636,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,362,32832,0,32,0,0,0,0,0,0,0,0,0
174,2,2,64,158,32,32,32,0,79,79,79,0,38655,149890,58,98.72689603,172,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,40,40,11494.25287,11494.25287,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,0,0,0,0,0,0,2,64,2,158,-1,-1,1,20,0,0,0,0,0,0,0,0,0
5130461,6,6,2078,957,1510,0,346.3333333,605.0304676,766,0,159.5,303.5376418,248711,133300,466405.5455,1522505.445,5056821,1,49919,9983.8,12347.44397,23609,79,5107222,1021444.4,2255879.529,5056821,1,0,0,0,0,200,200,1.169485549,1.169485549,0,1510,233.4615385,452.2859743,204562.6026,0,0,0,1,0,0,0,0,1,252.9166667,346.3333333,159.5,0,0,0,0,0,0,6,2078,6,957,29200,65,3,32,73636,0,73636,73636,5056821,0,5056821,5056821,0
299419,4,0,24,0,6,6,6,0,0,0,0,0,294124,104753,99806.33333,138182.4432,257522,3,299419,99806.33333,138182.4432,257522,3,0,0,0,0,0,0,0,0,0,80,0,13.35920566,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,0,0,0,0,0,0,4,24,0,0,388,-1,3,20,0,0,0,0,0,0,0,0,0
641044,1,1,49,130,49,49,49,0,130,130,130,0,139649,163646,641044,0,641044,641044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,1.559955323,1.559955323,49,130,76,46.7653718,2187,0,0,0,0,0,0,0,0,1,114,49,130,0,0,0,0,0,0,1,49,1,130,-1,-1,0,20,0,0,0,0,0,0,0,0,0
116177464,30,27,2982,8946,947,0,99.4,264.1531165,1694,0,331.3333333,589.6181946,8809,47722,2074597.571,4011140.079,10011545,0,116177464,4006119.448,4885025.107,10047994,1,111284434,4280170.538,5036248.593,10048036,4,0,0,0,0,968,872,0.25822564,0.232403076,0,1694,205.6551724,456.3371158,208243.5632,0,0,0,1,0,0,0,0,0,209.2631579,99.4,331.3333333,0,0,0,0,0,0,30,2982,27,8946,29200,404,6,32,106714.4545,232958.9135,809112,36436,10010060.27,3680.625221,10011545,9999555,0
48743,2,2,98,316,49,49,49,0,158,158,158,0,302717,233159,16247.66667,28135.722,48736,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,41.03153273,41.03153273,49,158,92.6,59.70175877,3564.3,0,0,0,0,0,0,0,0,1,115.75,49,158,0,0,0,0,0,0,2,98,2,316,-1,-1,1,20,0,0,0,0,0,0,0,0,0
3,2,0,37,0,37,0,18.5,26.1629509,0,0,0,0,34608,219948,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37,18.5,0,0,0,0,0,0,0,2,37,0,0,1006,-1,0,32,0,0,0,0,0,0,0,0,0
69276,2,2,62,162,31,31,31,0,81,81,81,0,159294,209077,23092,39989.58905,69268,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,40,28.87002714,28.87002714,31,81,51,27.38612788,750,0,0,0,0,0,0,0,0,1,63.75,31,81,0,0,0,0,0,0,2,62,2,162,-1,-1,1,32,0,0,0,0,0,0,0,0,0
64816,5,3,416,510,416,0,83.2,186.0408557,510,0,170,294.4486373,54228,101007,9259.428571,14827.15085,30993,76,64816,16204,18232.76498,32983,381,33360,16680,20887.93432,31450,1910,0,0,0,0,172,104,77.14144656,46.28486793,0,510,102.8888889,205.5118272,42235.11111,0,0,0,1,0,0,0,0,0,115.75,83.2,170,0,0,0,0,0,0,5,416,3,510,65535,118,1,32,0,0,0,0,0,0,0,0,0
446,2,0,12,0,6,6,6,0,0,0,0,0,135048,192771,446,0,446,446,446,446,0,446,446,0,0,0,0,0,0,0,0,0,40,0,4484.304933,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,64107,-1,1,20,0,0,0,0,0,0,0,0,0
152485,4,1,197,0,197,0,49.25,98.5,0,0,0,0,40243,172201,38121.25,26430.46377,59743,63,152485,50828.33333,9069.263605,59743,41612,0,0,0,0,0,0,0,0,0,136,40,26.2320884,6.558022101,0,197,32.83333333,80.42491322,6468.166667,0,0,0,1,0,0,0,0,0,39.4,49.25,0,0,0,0,0,0,0,4,197,1,0,29200,17898,1,32,0,0,0,0,0,0,0,0,0
23719,1,1,48,48,48,48,48,0,48,48,48,0,192332,235355,23719,0,23719,23719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.16029344,42.16029344,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0,0,0,0,0,0,0,0,0
25,1,1,6,6,6,6,6,0,6,6,6,0,216576,232183,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40000,40000,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,29200,64240,0,20,0,0,0,0,0,0,0,0,0
99899057,105,139,2021,270887,430,0,19.24761905,67.72892533,4380,0,1948.827338,970.720888,137077,134639,411107.2305,1938054.942,10004407,2,99899057,960567.8558,2903005.739,10091025,83,99409657,720359.8333,2558111.526,10091939,2,0,0,0,0,2112,2900,1.051060973,1.391404526,0,4380,1113.910204,1205.29947,1452746.812,0,0,0,1,0,0,0,0,1,1118.47541,19.24761905,1948.827338,0,0,0,0,0,0,105,2021,139,270887,8192,65535,104,20,239822.9,390088.8856,1317055,86580,9701163.6,930072.4698,10004407,7054299,0
5938041,6,4,611,159,517,0,101.8333333,204.3050823,147,0,39.75,71.55592219,40089,81939,659782.3333,1930883.437,5808516,3,5938041,1187608.2,2618513.757,5871714,3,105804,35268,32519.54102,64074,4,0,0,0,0,132,92,1.010434249,0.673622833,0,517,70,154.5004854,23870.4,0,0,0,1,0,0,0,0,0,77,101.8333333,39.75,0,0,0,0,0,0,6,611,4,159,8192,946,5,20,129522,0,129522,129522,5808516,0,5808516,5808516,0
70970,1,1,46,86,46,46,46,0,86,86,86,0,86758,159295,70970,0,70970,70970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.09046076,14.09046076,46,86,59.33333333,23.09401077,533.3333333,0,0,0,0,0,0,0,0,1,89,46,86,0,0,0,0,0,0,1,46,1,86,-1,-1,0,32,0,0,0,0,0,0,0,0,0
4431853,5,1,135,46,46,6,27,20.1246118,46,46,46,0,190802,76151,886370.6,1933248.75,4344445,49,4431853,1107963.25,2158040.428,4344445,49,0,0,0,0,0,1,0,0,0,100,20,1.128196265,0.225639253,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27,46,0,0,0,0,0,0,5,135,1,46,258,385,4,20,0,0,0,0,0,0,0,0,0
47928,1,1,41,90,41,41,41,0,90,90,90,0,137126,187632,47928,0,47928,47928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,20.86463028,20.86463028,41,90,57.33333333,28.29016319,800.3333333,0,0,0,0,0,0,0,0,1,86,41,90,0,0,0,0,0,0,1,41,1,90,-1,-1,0,32,0,0,0,0,0,0,0,0,0
115577138,16,15,3404,2264,3320,0,212.75,828.6013517,2184,2,150.9333333,562.4318964,218779,22393,3852571.267,4859760.152,10024246,36,115577138,7705142.533,4180309.326,10047946,415,110538168,7895583.429,4274374.443,10048165,418,0,0,0,0,340,304,0.138435683,0.129783453,0,3320,177.125,690.7052847,477073.7903,0,0,0,1,0,0,0,0,0,182.8387097,212.75,150.9333333,0,0,0,0,0,0,16,3404,15,2264,29200,8190,15,20,26172.36364,7757.359825,49559,23663,10022756.36,4372.735512,10024246,10009576,0
116292,1,1,55,342,55,55,55,0,342,342,342,0,166360,119859,116292,0,116292,116292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.599043786,8.599043786,55,342,150.6666667,165.6995273,27456.33333,0,0,0,0,0,0,0,0,1,226,55,342,0,0,0,0,0,0,1,55,1,342,-1,-1,0,32,0,0,0,0,0,0,0,0,0
8957487,6,5,735,240,517,0,122.5,208.4991607,152,0,48,61.40032573,16643,73962,895748.7,2775896.111,8795766,3,8957487,1791497.4,3915574.379,8795766,121,108395,27098.75,31057.60284,54330,3,0,0,0,0,132,112,0.669830724,0.55819227,0,517,81.25,152.1895499,23161.65909,0,0,0,1,0,0,0,0,0,88.63636364,122.5,48,0,0,0,0,0,0,6,735,5,240,8192,351,5,20,0,0,0,0,0,0,0,0,0
50615,2,1,12,6,6,6,6,0,6,6,6,0,171568,210281,25307.5,35776.06759,50605,10,50615,50615,0,50615,50615,0,0,0,0,0,0,0,0,0,40,20,39.51397807,19.75698903,6,6,6,0,0,0,0,0,0,1,1,0,0,0,8,6,6,0,0,0,0,0,0,2,12,1,6,532,271,1,20,0,0,0,0,0,0,0,0,0
115605818,20,18,1070,2421,517,0,53.5,146.502919,1418,0,134.5,376.5593852,149941,30553,3124481.568,4605830.568,10011774,4,115605818,6084516.737,4882638.711,10048017,4,110816102,6518594.235,4924113.168,10048154,4,0,0,0,0,648,584,0.173001674,0.155701506,0,1418,89.51282051,275.7157071,76019.15115,0,0,0,1,0,0,0,0,0,91.86842105,53.5,134.5,0,0,0,0,0,0,20,1070,18,2421,29200,349,4,32,63875.45455,91378.88086,339393,36226,10010321.45,4486.212843,10011774,9996798,0
60,1,1,0,0,0,0,0,0,0,0,0,0,2,175033,60,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16666.66667,16666.66667,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,110,240,0,32,0,0,0,0,0,0,0,0,0
31216,2,2,56,568,28,28,28,0,284,284,284,0,94358,103384,10405.33333,18017.36985,31210,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,64.06970784,64.06970784,28,284,130.4,140.2169747,19660.8,0,0,0,0,0,0,0,0,1,163,28,284,0,0,0,0,0,0,2,56,2,568,-1,-1,1,20,0,0,0,0,0,0,0,0,0
5767060,3,1,0,0,0,0,0,0,0,0,0,0,2,57728,1922353.333,3309075.415,5743320,21,5767060,2883530,4044353.804,5743320,23740,0,0,0,0,0,0,0,0,0,104,40,0.520195732,0.173398577,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,29200,65535,0,32,0,0,0,0,0,0,0,0,0
233,2,2,82,254,41,41,41,0,127,127,127,0,55681,121428,77.66666667,91.68605855,180,3,3,3,0,3,3,50,50,0,50,50,0,0,0,0,64,64,8583.690987,8583.690987,41,127,75.4,47.10413995,2218.8,0,0,0,0,0,0,0,0,1,94.25,41,127,0,0,0,0,0,0,2,82,2,254,-1,-1,1,32,0,0,0,0,0,0,0,0,0
105,2,0,0,0,0,0,0,0,0,0,0,0,2,126791,105,0,105,105,105,105,0,105,105,0,0,0,0,0,0,0,0,0,64,0,19047.61905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,245,-1,0,32,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,2,219948,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,0,666666.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33285,-1,0,32,0,0,0,0,0,0,0,0,0
154,2,2,66,98,33,33,33,0,49,49,49,0,14890,155935,51.33333333,86.32689809,151,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,64,64,12987.01299,12987.01299,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33,49,0,0,0,0,0,0,2,66,2,98,-1,-1,1,32,0,0,0,0,0,0,0,0,0
31000,2,2,62,162,31,31,31,0,81,81,81,0,278123,103790,10333.33333,17892.66219,30994,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,40,64.51612903,64.51612903,31,81,51,27.38612788,750,0,0,0,0,0,0,0,0,1,63.75,31,81,0,0,0,0,0,0,2,62,2,162,-1,-1,1,32,0,0,0,0,0,0,0,0,0
5226606,8,6,380,5561,199,0,47.5,74.19279903,2393,0,926.8333333,989.3562385,23336,138006,402046.6154,1348716.618,4887462,3,5226606,746658,1827532.319,4887462,3,114817,22963.4,31946.75608,71832,160,0,0,0,0,172,132,1.530630011,1.147972508,0,2393,396.0666667,744.1101557,553699.9238,0,0,0,1,0,0,0,0,0,424.3571429,47.5,926.8333333,0,0,0,0,0,0,8,380,6,5561,8192,119,7,20,0,0,0,0,0,0,0,0,0
21994402,2,2,95,198,49,46,47.5,2.121320344,107,91,99,11.3137085,41192,14679,7331467.333,12677994.01,21970748,498,21993904,21993904,0,21993904,21993904,21971246,21971246,0,21971246,21971246,0,0,0,0,52,52,0.090932229,0.090932229,46,107,68.4,28.52718002,813.8,0,0,0,0,0,0,0,0,1,85.5,47.5,99,0,0,0,0,0,0,2,95,2,198,-1,-1,1,20,23156,0,23156,23156,21970748,0,21970748,21970748,0
65895021,30,35,3892,7575,828,0,129.7333333,218.7937043,1430,0,216.4285714,423.5538222,79454,68168,1029609.703,7314589.322,58513939,1,65895021,2272242.103,10855210.82,58596265,37,65653096,1930973.412,10026428.39,58556393,1,0,0,0,0,612,712,0.455269602,0.531147869,0,1430,173.7424242,342.8352513,117536.0096,0,0,0,1,0,0,0,0,1,176.4153846,129.7333333,216.4285714,0,0,0,0,0,0,30,3892,35,7575,8192,431,29,20,7138325,0,7138325,7138325,58513939,0,58513939,58513939,0
2665,2,0,12,0,6,6,6,0,0,0,0,0,207661,226981,2665,0,2665,2665,2665,2665,0,2665,2665,0,0,0,0,0,0,0,0,0,40,0,750.4690432,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,0
15164497,3,2,18,0,6,6,6,0,0,0,0,0,3570,30829,3791124.25,4785927.535,10000615,22939,15164497,7582248.5,3452527.348,10023554,5140943,10023703,10023703,0,10023703,10023703,0,0,0,0,60,64,0.197830498,0.131886999,0,6,4,3.098386677,9.6,0,0,0,0,1,0,0,0,0,4.8,6,0,0,0,0,0,0,0,3,18,2,0,252,1047,2,20,22939,0,22939,22939,10000615,0,10000615,10000615,0
30955,2,2,80,202,40,40,40,0,101,101,101,0,313419,103865,10318.33333,17866.68143,30949,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,64.60991762,64.60991762,40,101,64.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,80.5,40,101,0,0,0,0,0,0,2,80,2,202,-1,-1,1,20,0,0,0,0,0,0,0,0,0
206,2,1,37,6,37,0,18.5,26.1629509,6,6,6,0,107051,110913,103,31.11269837,125,81,206,206,0,206,206,0,0,0,0,0,1,0,0,0,64,20,9708.737864,4854.368932,0,37,20,19.78214683,391.3333333,0,1,0,0,1,0,0,0,0,26.66666667,18.5,6,0,0,0,0,0,0,2,37,1,6,1120,0,0,32,0,0,0,0,0,0,0,0,0
115366879,29,35,947,41254,451,0,32.65517241,90.27785516,4096,0,1178.685714,1144.048121,175656,51559,1831220.302,3839063.804,10018371,0,115366879,4120245.679,4923788.861,10041589,3,110388974,3246734.529,4758426.863,10041583,48,0,0,0,0,592,844,0.251371973,0.303379968,0,4096,649.2461538,1015.401384,1031039.97,0,0,0,1,0,0,0,0,1,659.390625,32.65517241,1178.685714,0,0,0,0,0,0,29,947,35,41254,8192,980,28,20,33167.81818,32987.59592,132629,23112,10002223.27,6974.198751,10018371,9995275,0
5291985,4,2,12,0,6,0,3,3.464101615,0,0,0,0,97746,71885,1058397,2331296.507,5228652,71,5291985,1763995,3000481.037,5228652,31067,31135,31135,0,31135,31135,0,0,0,0,104,64,0.755860041,0.377930021,0,6,1.714285714,2.927700219,8.571428571,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,12,2,0,8192,29200,2,20,0,0,0,0,0,0,0,0,0
16483,1,1,48,48,48,48,48,0,48,48,48,0,246509,100016,16483,0,16483,16483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,60.66856762,60.66856762,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0,0,0,0,0,0,0,0,0
2227,2,0,0,0,0,0,0,0,0,0,0,0,2,239071,2227,0,2227,2227,2227,2227,0,2227,2227,0,0,0,0,0,0,0,0,0,64,0,898.0691513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33300,-1,0,32,0,0,0,0,0,0,0,0,0
